Date,Open,High,Low,Close,Adj Close,Volume
2021-01-15,33.689999,34.099998,33.169998,33.619999,33.436935,60100
2021-01-19,33.980000,34.570000,33.790001,34.020000,33.834759,76900
2021-01-20,33.950001,34.639999,33.950001,34.410000,34.222633,101600
2021-01-21,34.459999,35.020000,34.400002,34.570000,34.381763,95100
2021-01-22,34.259998,34.820000,33.570000,34.810001,34.620461,80700
2021-01-25,34.689999,35.410000,34.349998,35.360001,35.167461,136800
2021-01-26,35.419998,36.119999,35.240002,35.980000,35.784084,100900
2021-01-27,35.509998,35.630001,34.130001,34.730000,34.540890,124600
2021-01-28,34.869999,34.869999,33.630001,33.669998,33.486660,118600
2021-01-29,33.590000,34.230000,32.990002,33.119999,32.939655,94000
2021-02-01,33.410000,33.619999,33.110001,33.279999,33.098785,56100
2021-02-02,33.660000,34.130001,33.380001,34.119999,33.934212,54700
2021-02-03,34.130001,34.349998,33.720001,33.980000,33.794975,85300
2021-02-04,34.080002,35.240002,34.020000,35.000000,34.809422,59400
2021-02-05,35.259998,35.270000,34.740002,35.110001,35.018879,49400
2021-02-08,35.330002,35.750000,35.189999,35.750000,35.657215,57100
2021-02-09,35.660000,35.980000,35.500000,35.830002,35.737011,74500
2021-02-10,36.000000,36.200001,35.439999,36.060001,35.966412,117500
2021-02-11,36.189999,36.810001,36.049999,36.570000,36.475086,160300
2021-02-12,36.560001,36.700001,36.020000,36.580002,36.485062,115100
2021-02-16,36.849998,36.849998,35.090000,35.299999,35.208382,106200
2021-02-17,34.709999,34.810001,33.689999,34.790001,34.699707,90100
2021-02-18,34.630001,35.230000,32.740002,34.340000,34.250874,331300
2021-02-19,34.709999,34.919998,34.209999,34.459999,34.370564,96100
2021-02-22,34.130001,35.240002,34.130001,34.700001,34.609943,120400
2021-02-23,34.340000,34.830002,33.740002,33.799999,33.712276,147800
2021-02-24,33.799999,34.119999,33.529999,33.860001,33.772121,104600
2021-02-25,33.849998,33.990002,33.130001,33.270000,33.183651,80200
2021-02-26,33.049999,33.509998,32.709999,32.959999,32.874454,151300
2021-03-01,33.549999,34.180000,33.549999,34.169998,34.081314,77800
2021-03-02,34.110001,34.410000,33.369999,33.650002,33.562668,80300
2021-03-03,33.990002,34.250000,33.450001,33.880001,33.792068,71700
2021-03-04,33.650002,33.959999,33.060001,33.230000,33.143757,107000
2021-03-05,33.580002,34.119999,32.779999,34.060001,33.971603,114900
2021-03-08,34.950001,36.340000,34.529999,36.060001,35.966412,129400
2021-03-09,36.330002,36.330002,35.689999,35.790001,35.697113,114400
2021-03-10,35.900002,36.840000,35.869999,36.790001,36.694519,102200
2021-03-11,36.720001,36.939999,36.349998,36.520000,36.425217,120900
2021-03-12,36.750000,36.860001,36.080002,36.139999,36.046204,117500
2021-03-15,36.000000,36.480000,35.200001,36.480000,36.385319,114200
2021-03-16,36.419998,36.500000,35.549999,36.049999,35.956436,72200
2021-03-17,36.230000,36.520000,35.580002,36.270000,36.175865,66000
